NOTIFICATION,DESCRIPTION,PRIORITY,INITIAL RECOMMENDATION,State,NEW RECOMMENDATION,ENGINEERING REVIEW OUTCOMES
24843690, wall loss approximately 373mm therefore thickness are 183mm,2,to be repaired/ replaced,revise,to be rectified,weld buildup flange to flange spool replacement
25025166,severe corrosion perforated on drain piping tilted after power tooling,2,to be repaired/ replaced,revise,to be rectified,repairy composite wrapping
25025168,severe corrosion perforated on drain piping tilted after power tooling,2,to be repaired/ replaced,revise,to be rectified,repairy composite wrapping
25054855,depleted bolt and nuts insufficient threaded engagement bolt not flush with nuts missing valve component,2,to be repaired/ replaced,revise,to be rectified,install new bolts install new gearbox cover
24836953,severe corrosion on globe valve and check valve body pipe support corroded with paint flaking,2,to be repaired/ replaced,revise,to be rectified,check valve butterfly valve handle repair
24843690, wall loss approximately 373mm therefore thickness are 183mm,2,to be repaired/ replaced,revise,to be rectified,weld buildup flange to flange spool replacement
25025166,severe corrosion perforated on drain piping tilted after power tooling,2,to be repaired/ replaced,revise,to be rectified,repairy composite wrapping
25025168,severe corrosion perforated on drain piping tilted after power tooling,2,to be repaired/ replaced,revise,to be rectified,repairy composite wrapping
25054855,depleted bolt and nuts insufficient threaded engagement bolt not flush with nuts missing valve component,2,to be repaired/ replaced,revise,to be rectified,install new bolts install new gearbox cover
24417905,thick scale corrosion on several bolt and nuts thick scale corrosion on pipe support,3,to be repaired/ replaced,revise,to be rectified,painting on bolts and nuts repairy on pipe support
24418280,valve handle broken and thick scale corrosion on bolt and nuts,3,to be repaired/ replaced,revise,to be rectified,replace handle painting on bolts nuts and corroded area
24418611,uclamps ripped off from pipe support thick scale corrosion on on several boltnuts and ubolt,3,to be repaired/ replaced,revise,to be rectified,repairy on uclamps painting on bolts and nuts
24449063,padding shoe damage on pipe support due to unproper padding,3,to be repaired/ replaced,revise,to be rectified,reinstate padding paint corroded area at pipe support
24824834,perforatedcorroded bracing at beam adjacent to helideck,3,to be repaired/ replaced,revise,to be rectified,repair perforated bracing at beam cut. replace corroded open drain hole. installmissing bolts and nuts
24832781,atmospheric corrosion scaling with pitting 24mm depth at pipe,3,to be repaired/ replaced,revise,to be rectified,perform fitness for service to determine minimum required thickness and propose paint. if within allowable thickness repairy composite wrapping
24190865,valve handle perforated,3,to be repaired/ replaced,revise,to be rectified,replace hand wheel with surplus material. dispose valve
24191032,insulation damaged,3,to be repaired/ replaced,revise,to be rectified,rectify and seal damaged insulation
24903802,atmospheric corrosion at pipeflange severe corroded bolt and nuts,3,to be repaired/ replaced,revise,to be rectified,pull smaller pipe to left and anchor with ubolts. if not possible install aluminum plate
24974300,severe corrosion and parted handle scale corrosion on pipe flanges flanges bolt,3,to be repaired/ replaced,revise,to be rectified,repair handle with surplus or dispose valve paint pipe flange and corroded bolts
24907514,monkey ladder observed without abnormalities base plate for monkey ladder with severe corrosion,3,to be repaired/ replaced,revise,to be rectified,metal putty devcon
24943823,pipe support parted with severe corrosion attack,3,to be repaired/ replaced,revise,to be rectified,corroded floor and support. powerbrush and paint. remove parted support . replace with unwelded pipe support
24812927,steering valve component structure broken damage,3,to be repaired/ replaced,revise,to be rectified,replace streering valve with surplus material. dispose valve
24815224,associated cable tray support parted selected area,3,to be repaired/ replaced,revise,to be rectified,repairy hilti
24815254,perforated noted on support structure,3,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. rust grade d. remove perforated support and replace hilti modular support
24815257,perforated noted on support structure,3,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. rust grade d. remove perforated support and replace hilti modular support
24815271,perforated noted on associated frame support structure selected area,3,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. rust grade d. remove perforated support and replace hilti modular support
24815467,deterioration and perforation noted on associated piping support structure,3,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. rust grade d. remove perforated support and replace hilti modular support
24815471,localised corrosion noted and perforated on associated cage component structure,3,to be repaired/ replaced,revise,to be rectified,reinstate damage cage paint corroded support. powerbrush and paint. rust grade d
24815534,associated cable guide and tray support structure perforated and parted,3,to be repaired/ replaced,revise,to be rectified,repairy hilti
24815535,associated cable guide and tray support structure perforated and parted,3,to be repaired/ replaced,revise,to be rectified,repairy hilti
24815536,associated cable guide and tray support structure perforated and parted,3,to be repaired/ replaced,revise,to be rectified,repairy hilti
24815537,associated cable guide and tray support structure perforated and parted,3,to be repaired/ replaced,revise,to be rectified,repairy hilti
24815563,localised corrosion and perforated noted on associated cable tray support component structure,3,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. rust grade d. remove perforated support and replace hilti modular support
24815571,deformation and parted on cable tray support,3,to be repaired/ replaced,revise,to be rectified,repairy hilti
24815647,deterioration and parted noted on associated cable tray support structure selected area,3,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. rust grade d. remove perforated support and replace hilti modular support
24815652,deformation and perforated on cable tray support selected area,3,to be repaired/ replaced,revise,to be rectified,repairy hilti
24815837,depleted and deteriorated noted beam frame and supportcomponent structure selected area,3,to be repaired/ replaced,revise,to be rectified,repairy hilti
24815837,depleted and deteriorated noted beam frame and supportcomponent structure selected area,3,to be repaired/ replaced,revise,to be rectified,repairy hilti
24815981,parted and severe corrosion noted on associated cage component structure,3,to be repaired/ replaced,revise,to be rectified,rectify accordance to construction drawing
24815983,damage parted noted on associated safety net structure,3,to be repaired/ replaced,revise,to be rectified,rectify accordance to construction drawing
24816542,scattered corrosion with thick scaling contamination and perforated noted on associated component structure,3,to be repaired/ replaced,revise,to be rectified,metal putty paint corroded handrail
24260724, dented corroded bottom section noted on handrails kick plate structure,4,to be repaired/ replaced,revise,to be rectified,straighten and align kick plate then maintenance painting
25089114, partly damage of firewall insulation observed others portion with good conditions,2,to be repaired/ replaced,revise,to be rectified,repair or. reinstate firewall insulation to avoid further degradation at other section
25017836, valve handle parted severely corroded,2,to be repaired/ replaced,revise,to be rectified,replace valve handle with surplus material. dispose valve
24962796, damage on cable collar,3,to be repaired/ replaced,revise,to be rectified,reinstate damage cable collar
24962815, spots perforated and thiing noted on support,3,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. remove parted support . replace with. prefabricate support
24962926,damage parted deterioration on support,3,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. remove parted support . replace with hilti support
24962927,damage parted deterioration on support,3,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. remove parted support . replace with hilti support
24962938,thiing and perforated noted on support,3,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support use hilti support
24962944,spot perforated and deterioration noted on support,3,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support use hilti support
24962945,spot perforated and deterioration noted on support,3,to be repaired/ replaced,revise,to be rectified,power brush and paint on corroded support. remove parted support and replace hilti modular support
24962948,spot perforated and badly corroded noted on support,3,to be repaired/ replaced,revise,to be rectified,remove loose rust and paint. rust grade d. apply metal putty on collar support
